bikeid,type,lon,lat
0100022073,classical,116.345989,40.047211
0100022070,classical,116.261426,39.811337
0100022079,classical,116.364413,39.796021
0100014670,classical,116.396349,39.983064
0100016729,classical,116.373588,40.097504
0100016728,classical,116.330364,39.775285
0100016899,classical,116.612718,39.931173
0100016898,classical,116.4018,39.772718
0100016725,classical,116.564306,39.962619
0100016896,classical,116.349339,40.010407
0100016727,classical,116.362103,39.831471
0100016894,classical,116.288893,39.955757
0100016893,classical,116.346853,39.856635
0100016720,classical,116.275598,39.931182
0100016890,classical,116.208882,39.820433
0100013559,classical,116.363974,39.798174
0100018949,classical,116.449475,39.91945
0100018948,classical,116.545375,39.960787
0100013551,classical,116.413385,39.918829
0100013550,classical,116.324558,39.944416
0100018945,classical,116.349201,39.837937
0100018944,classical,116.341175,39.928254
0100018943,classical,116.358255,39.850229
0100018942,classical,116.421006,39.787708
0100018941,classical,116.451836,39.913765
0100013556,classical,116.385208,39.951627
0100010118,classical,116.435704,40.043497
0100010119,classical,116.486484,39.893409
0100016097,classical,116.488685,39.998268
0100016095,classical,116.464196,39.907662
0100016094,classical,116.373781,39.906191
0100016093,classical,116.227597,39.905424
0100016092,classical,116.303225,39.867053
0100016091,classical,116.417946,40.002633
0100016090,classical,116.384942,39.830686
0100017810,classical,116.416993,39.941176
0100012867,classical,116.367279,39.822646
0100017812,classical,116.49844,39.904603
